Ability Name,Effect Type
adaptability,boost_other
iron_fist,boost_usage_method
reckless,boost_other
technician,boost_other
tinted_lens,boost_other
mega_launcher,boost_usage_method
strong_jaw,boost_usage_method
tough_claws,boost_other
steelworker,boost_type
neuroforce,boost_other
punk_rock,boost_usage_method
steely_spirit,boost_type
transistor,boost_type
dragons_maw,boost_type
blaze,boost_type
overgrow,boost_type
swarm,boost_type
torrent,boost_type
dark_aura,boost_type
fairy_aura,boost_type
flash_fire,boost_type
drizzle,creates_weather
drought,creates_weather
sand_stream,creates_weather
snow_warning,creates_weather
sand_spit,creates_weather
primordial_sea,creates_weather
desolate_land,creates_weather
delta_stream,creates_weather
electric_surge,creates_terrain
psychic_surge,creates_terrain
grassy_surge,creates_terrain
misty_surge,creates_terrain
levitate,resist_type
soundproof,resist_method
wonder_guard,resist_type
bulletproof,resist_method
flash_fire,resist_type
thick_fat,resist_type
thick_fat,resist_type
heatproof,resist_type
dry_skin,resist_type
fluffy,resist_type
lightning_rod,resist_type
storm_drain,resist_type
motor_drive,resist_type
sap_sipper,resist_type
dry_skin,resist_type
volt_absorb,resist_type
water_absorb,resist_type
cute_charm,contact_causes_status
effect_spore,contact_causes_status
flame_body,contact_causes_status
poison_point,contact_causes_status
static,contact_causes_status
immunity,protect_against_status
inner_focus,protect_against_status
insomnia,protect_against_status
vital_spirit,protect_against_status
limber,protect_against_status
magma_armor,protect_against_status
own_tempo,protect_against_status
oblivious,protect_against_status
oblivious,protect_against_status
water_veil,protect_against_status
immunity,protect_against_status
pastel_veil,protect_against_status
pastel_veil,protect_against_status
natural_cure,protect_against_status
aroma_veil,protect_against_status
aroma_veil,protect_against_status
aroma_veil,protect_against_status
aroma_veil,protect_against_status
flower_veil,protect_against_status
sweet_veil,protect_against_status
natural_cure,protect_against_status
natural_cure,protect_against_status
natural_cure,protect_against_status
natural_cure,protect_against_status
natural_cure,protect_against_status
natural_cure,protect_against_status
cute_charm,punish_contact
effect_spore,punish_contact
flame_body,punish_contact
poison_point,punish_contact
static,punish_contact
rough_skin,punish_contact
iron_barbs,punish_contact
gooey,punish_contact
tangling_hair,punish_contact
dry_skin,restores_hp
volt_absorb,restores_hp
water_absorb,restores_hp
ice_body,restores_hp
rain_dish,restores_hp
arena_trap,trapped
magnet_pull,trapped
shadow_tag,trapped
compound_eyes,manipulates_item
pickup,manipulates_item
sticky_hold,manipulates_item
gluttony,manipulates_item
unburden,manipulates_item
klutz,manipulates_item
frisk,manipulates_item
multitype,manipulates_item
harvest,manipulates_item
pickpocket,manipulates_item
unnerve,manipulates_item
cheek_pouch,manipulates_item
magician,manipulates_item
symbiosis,manipulates_item
rks_system,manipulates_item
ripen,manipulates_item
as_one_glastrier,manipulates_item
as_one_spectrier,manipulates_item
forecast,changes_form
hunger_switch,changes_form
imposter,changes_form
power_construct,changes_form
schooling,changes_form
shields_down,changes_form
stance_change,changes_form
zen_mode,changes_form
battle_bond,changes_form
disguise,changes_form
ice_face,changes_form
protean,changes_pokemon_type
rks_system,changes_pokemon_type
color_change,changes_pokemon_type
libero,changes_pokemon_type
mimicry,changes_pokemon_type
multitype,changes_pokemon_type
aerilate,changes_move_type
normalize,changes_move_type
galvanize,changes_move_type
pixilate,changes_move_type
refrigerate,changes_move_type
liquid_voice,changes_move_type
teravolt,ignores_ability
turboblaze,ignores_ability
mold_breaker,ignores_ability
receiver,changes_ability
neutralizing_gas,suppresses_ability
quick_draw,move_first_in_priority
sheer_force,other_move_enhancement
adaptability,other_move_enhancement
analytic,other_move_enhancement
battery,other_move_enhancement
flare_boost,other_move_enhancement
aerilate,other_move_enhancement
normalize,other_move_enhancement
galvanize,other_move_enhancement
pixilate,other_move_enhancement
refrigerate,other_move_enhancement
reckless,other_move_enhancement
technician,other_move_enhancement
neuroforce,other_move_enhancement
tough_claws,other_move_enhancement
tinted_lens,other_move_enhancement
unseen_fist,bypasses_protect
wimp_out,switches_out_user
emergency_exit,switches_out_user
air_lock,ignores_weather
cloud_nine,ignores_weather
cheek_pouch,restores_hp
ice_body,restores_hp
rain_dish,restores_hp
poison_heal,restores_hp
regenerator,restores_hp
dry_skin,restores_hp
curious_medicine,resets_stats
heavy_metal,affects_weight
light_metal,affects_weight
stall,moves_last_in_priority
long_reach,ignores_contact
no_guard,cannot_miss
solar_power,costs_hp
disguise,costs_hp
dry_skin,costs_hp
battle_armor,prevents_crit
shell_armor,prevents_crit
clear_body,prevents_stat_drop
white_smoke,prevents_stat_drop
full_metal_body,prevents_stat_drop
wonder_guard,other_move_resistance
filter,other_move_resistance
solid_rock,other_move_resistance
prism_armor,other_move_resistance
multiscale,other_move_resistance
shadow_shield,other_move_resistance
prankster,adds_priority
gale_wings,adds_priority
triage,adds_priority
dazzling,protect_against_priority
queenly_majesty,protect_against_priority
beast_boost,modify_stat
download,modify_stat
intrepid_sword,modify_stat
justified,modify_stat
moxie,modify_stat
sap_sipper,modify_stat
defiant,modify_stat
moody,modify_stat
intimidate,modify_stat
moody,modify_stat
anger_point,modify_stat
flower_gift,modify_stat
gorilla_tactics,modify_stat
guts,modify_stat
huge_power,modify_stat
hustle,modify_stat
pure_power,modify_stat
defeatist,modify_stat
slow_start,modify_stat
beast_boost,modify_stat
dauntless_shield,modify_stat
stamina,modify_stat
moody,modify_stat
water_compaction,modify_stat
grass_pelt,modify_stat
marvel_scale,modify_stat
fur_coat,modify_stat
beast_boost,modify_stat
berserk,modify_stat
download,modify_stat
lightning_rod,modify_stat
storm_drain,modify_stat
soul_heart,modify_stat
competitive,modify_stat
moody,modify_stat
moody,modify_stat
minus,modify_stat
plus,modify_stat
solar_power,modify_stat
battery,modify_stat
defeatist,modify_stat
beast_boost,modify_stat
moody,modify_stat
flower_gift,modify_stat
beast_boost,modify_stat
motor_drive,modify_stat
rattled,modify_stat
speed_boost,modify_stat
steadfast,modify_stat
weak_armor,modify_stat
moody,modify_stat
cotton_down,modify_stat
gooey,modify_stat
moody,modify_stat
tangling_hair,modify_stat
steam_engine,modify_stat
chlorophyll,modify_stat
quick_feet,modify_stat
sand_rush,modify_stat
swift_swim,modify_stat
unburden,modify_stat
slush_rush,modify_stat
surge_surfer,modify_stat
slow_start,modify_stat
moody,modify_stat
sand_veil,modify_stat
snow_cloak,modify_stat
tangled_feet,modify_stat
moody,modify_stat
moody,modify_stat
compound_eyes,modify_stat
victory_star,modify_stat
hustle,modify_stat
wonder_skin,modify_stat
wonder_skin,modify_stat
